"Peak","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","nearest_gene","distance_to_nearest_gene","Significant","Direction"
"chr16-86122875-86124111",0.8776,2.00395364147827e-23,4.02822737288113e-18,0.285,0.176,"Adamts5",221749,"Yes","Male-enriched"
"chr2-155873566-155874495",0.8776,4.60334514477057e-18,9.2533682093091e-13,0.191,0.109,"Uqcc1",0,"Yes","Male-enriched"
"chr4-135073190-135073990",0.8774,4.17594597532631e-28,8.39423604284242e-23,0.323,0.2,"Gm16225",44230,"Yes","Male-enriched"
"chr10-61465021-61465322",0.8774,6.34767783669164e-12,1.27597211266473e-06,0.116,0.064,"D830039M14Rik",9922,"Yes","Male-enriched"
"chr8-45628630-45629442",0.8773,1.001227485565e-23,2.01260741783362e-18,0.254,0.148,"Sorbs2",0,"Yes","Male-enriched"
"chr10-74822455-74823787",0.8773,7.00015393907225e-19,1.40712894390867e-13,0.191,0.107,"Gm6419",39200,"Yes","Male-enriched"
"chr11-116418126-116418817",0.8772,6.87202112787098e-18,1.38137245499786e-12,0.235,0.147,"Rnf157",5093,"Yes","Male-enriched"
"chr10-127324533-127324802",0.8771,2.30241092225097e-16,4.62816829125356e-11,0.186,0.109,"Arhgap9",0,"Yes","Male-enriched"
"chr10-25907879-25908853",0.8771,6.97841326369474e-10,0.000140275876378833,0.113,0.067,"Tmem200a",82332,"Yes","Male-enriched"
"chr1-77840110-77840943",0.8771,8.714853997049e-10,0.000175180766136281,0.105,0.061,"Gm26263",57339,"Yes","Male-enriched"
"chr8-67964113-67964653",0.877,4.81806292829418e-11,9.68498101468126e-06,0.129,0.076,"Psd3",0,"Yes","Male-enriched"
"chr7-125566517-125566898",0.8769,1.21054282152428e-12,2.43336054725881e-07,0.133,0.076,"Il4ra",0,"Yes","Male-enriched"
"chr6-31513684-31514105",0.8768,1.30565077670374e-27,2.62454085228326e-22,0.3,0.179,"Mkln1",0,"Yes","Male-enriched"
"chr10-120914246-120915612",0.8767,1.29018605710829e-29,2.59345460083566e-24,0.363,0.233,"Lemd3",7800,"Yes","Male-enriched"
"chr4-118216727-118217027",0.8767,1.02572051239603e-17,2.06184183078775e-12,0.191,0.109,"Ptprf",0,"Yes","Male-enriched"
"chr11-73071696-73072143",0.8767,8.835114346125e-10,0.000177598167517197,0.118,0.071,"1200014J11Rik",0,"Yes","Male-enriched"
"chr3-68583163-68584579",0.8766,3.12015816687941e-54,6.27195473757098e-49,0.563,0.39,"SCHIP1",0,"Yes","Male-enriched"
"chr14-13651612-13652370",0.8765,4.07109646492766e-42,8.18347384800969e-37,0.44,0.278,"Sntn",18505,"Yes","Male-enriched"
"chr14-121259828-121260118",0.8765,2.01099796388804e-15,4.04238744712991e-10,0.162,0.092,"Farp1",0,"Yes","Male-enriched"
"chr4-149539410-149539651",0.8765,1.27182798210423e-10,2.556552299947e-05,0.1,0.054,"Ctnnbip1",0,"Yes","Male-enriched"
"chr10-111746075-111747584",0.8764,1.05706326836531e-09,0.000212484515827185,0.109,0.064,"RP24-428L4.1",63195,"Yes","Male-enriched"
"chr14-67715090-67717073",0.8763,3.35393842110089e-222,6.74188577779174e-217,0.921,0.81,"Cdca2",0,"Yes","Male-enriched"
"chr15-83164939-83165146",0.8763,8.04970534793181e-12,1.61810347080917e-06,0.131,0.075,"Cyb5r3",0,"Yes","Male-enriched"
"chr14-70055943-70057937",0.8762,3.96141911376587e-77,7.96300701734533e-72,0.685,0.523,"Pebp4",0,"Yes","Male-enriched"
"chr10-81101482-81101772",0.8762,4.1053195404856e-19,8.25226702111171e-14,0.214,0.125,"Creb3l3",2607,"Yes","Male-enriched"
"chr7-64275553-64275816",0.8762,6.15044151808822e-15,1.23632485131699e-09,0.153,0.086,"Trpm1",5777,"Yes","Male-enriched"
"chr13-114456113-114457658",0.8761,2.96082271596088e-38,5.95166817426161e-33,0.434,0.283,"Fst",0,"Yes","Male-enriched"
"chr3-83827720-83828645",0.8761,9.27121763527104e-14,1.86364454173637e-08,0.158,0.093,"RP24-531K24.1",0,"Yes","Male-enriched"
"chr12-79382127-79383980",0.876,3.4424518374392e-33,6.91981013651003e-28,0.403,0.267,"Rad51b",0,"Yes","Male-enriched"
"chr3-121754437-121755588",0.876,1.7709175528174e-15,3.55979220962036e-10,0.198,0.123,"Abcd3",3321,"Yes","Male-enriched"
"chr3-101372392-101372601",0.876,1.30932719205717e-11,2.63193096184181e-06,0.127,0.073,"Igsf3",4523,"Yes","Male-enriched"
"chr14-55023963-55024613",0.876,2.70872123259946e-11,5.44490889849749e-06,0.143,0.087,"Ngdn",0,"Yes","Male-enriched"
"chr14-31785555-31786056",0.8759,8.39522523430041e-28,1.68755780524766e-22,0.315,0.192,"Ankrd28",0,"Yes","Male-enriched"
"chr14-21813680-21814456",0.8759,3.02128991894355e-20,6.0732157176652e-15,0.243,0.147,"Gm23502",824,"Yes","Male-enriched"
"chr14-50938340-50939277",0.8759,1.20658864913783e-10,2.42541210717792e-05,0.102,0.056,"Pnp",5024,"Yes","Male-enriched"
"chr7-142373736-142374213",0.8758,1.12090993551468e-30,2.25318589777548e-25,0.392,0.261,"Ctsd",0,"Yes","Male-enriched"
"chr4-138370600-138371402",0.8757,9.65595151911892e-19,1.94098143866417e-13,0.218,0.13,"Cda",2607,"Yes","Male-enriched"
"chr16-20415042-20415512",0.8757,1.2502490756993e-18,2.51317567702619e-13,0.214,0.126,"Abcc5",0,"Yes","Male-enriched"
"chr18-7123519-7123988",0.8757,1.44845890495204e-16,2.9116051832003e-11,0.174,0.099,"Armc4",0,"Yes","Male-enriched"
"chr8-124621177-124621533",0.8756,1.03436604577833e-10,2.07922056326085e-05,0.125,0.074,"Capn9",2445,"Yes","Male-enriched"
"chr11-68945861-68947735",0.8755,2.1807017017804e-71,4.38351571881685e-66,0.646,0.459,"Arhgef15",0,"Yes","Male-enriched"
"chr7-58675932-58677729",0.8754,5.70159086224191e-58,1.14609958558269e-52,0.589,0.412,"Atp10a",0,"Yes","Male-enriched"
"chr1-183572933-183574575",0.8754,2.35784455749272e-34,4.73959765879842e-29,0.362,0.219,"RP24-411K2.1",8887,"Yes","Male-enriched"
"chr18-35311478-35312410",0.8753,2.84469477024835e-22,5.71823474546701e-17,0.235,0.134,"Sil1",0,"Yes","Male-enriched"
"chr17-85645476-85646399",0.8752,4.00879719667545e-16,8.0582435969252e-11,0.161,0.09,"Six3",16173,"Yes","Male-enriched"
"chr7-45901472-45901858",0.8752,1.23285930085508e-13,2.47821979502082e-08,0.154,0.09,"Tmem143",0,"Yes","Male-enriched"
"chr2-92750205-92751948",0.8751,1.63508252668749e-148,3.28674479019559e-143,0.849,0.712,"Gm13816",0,"Yes","Male-enriched"
"chr14-55659670-55660906",0.8751,1.15614458771737e-44,2.32401248155419e-39,0.508,0.34,"Mdp1",0,"Yes","Male-enriched"
"chr11-47377022-47378172",0.8751,5.64613349679294e-22,1.13495187872434e-16,0.243,0.143,"Sgcd",0,"Yes","Male-enriched"
"chr11-100789550-100790684",0.8749,2.46409130531205e-29,4.95316849645997e-24,0.352,0.228,"Stat5b",0,"Yes","Male-enriched"
"chr1-60416393-60417135",0.8749,3.03862610002706e-17,6.1080638687084e-12,0.186,0.107,"Abi2",0,"Yes","Male-enriched"
"chr19-28975016-28975712",0.8748,3.31139618296257e-16,6.65636992322037e-11,0.172,0.098,"4430402I18Rik",7215,"Yes","Male-enriched"
"chr1-177470062-177470585",0.8748,8.91875314548569e-16,1.79279424478666e-10,0.168,0.096,"RP24-441N3.3",0,"Yes","Male-enriched"
"chr11-32709633-32709839",0.8748,2.95797466968836e-11,5.94594320252736e-06,0.117,0.066,"Fbxw11",0,"Yes","Male-enriched"
"chr10-123010580-123012115",0.8746,2.26839130084417e-43,4.5597840894789e-38,0.486,0.323,"Mon2",0,"Yes","Male-enriched"
"chr12-51577835-51578902",0.8746,4.98786936920479e-13,1.00263157338133e-07,0.151,0.089,"Coch",14438,"Yes","Male-enriched"
"chr14-18773343-18774881",0.8745,6.60125303049723e-67,1.32694427667237e-61,0.619,0.437,"Ube2e2",0,"Yes","Male-enriched"
"chr3-14885931-14887125",0.8743,6.45600103162419e-45,1.29774659137091e-39,0.481,0.31,"Car2",0,"Yes","Male-enriched"
"chr12-79887034-79887944",0.8743,2.00136614354137e-35,4.02302613977825e-30,0.432,0.284,"Gm28056",75623,"Yes","Male-enriched"
"chr3-142345180-142346131",0.8743,8.81152582231818e-27,1.77124005164747e-21,0.314,0.194,"Pdlim5",0,"Yes","Male-enriched"
"chr7-100364581-100365307",0.8743,5.69740155065776e-20,1.14525747530392e-14,0.235,0.143,"Ppme1",0,"Yes","Male-enriched"
"chr6-72389512-72391140",0.8741,5.1960042230899e-46,1.04446959290019e-40,0.488,0.314,"Vamp8",0,"Yes","Male-enriched"
"chr2-92735616-92736150",0.874,1.24371626649996e-18,2.50004381594222e-13,0.183,0.101,"Gm13816",6079,"Yes","Male-enriched"
"chr9-123238427-123238904",0.8739,3.66325023718464e-12,7.36364583177434e-07,0.135,0.077,"Tmem158",20153,"Yes","Male-enriched"
"chr1-158653993-158654911",0.8738,1.15915368400786e-22,2.33006118637157e-17,0.256,0.152,"Astn1",0,"Yes","Male-enriched"
"chr11-20638731-20639083",0.8738,3.31078737255209e-13,6.65514612906187e-08,0.152,0.09,"Sertad2",0,"Yes","Male-enriched"
"chr14-32530379-32531206",0.8737,2.57634908273799e-22,5.17882234517494e-17,0.27,0.166,"Ercc6",0,"Yes","Male-enriched"
"chr17-87302151-87302889",0.8737,1.64441243240969e-21,3.30549920688402e-16,0.24,0.141,"Ttc7",0,"Yes","Male-enriched"
"chr15-83389151-83389405",0.8736,2.20572487045501e-13,4.43381579109643e-08,0.131,0.071,"Pacsin2",0,"Yes","Male-enriched"
"chr7-49266444-49266725",0.8734,6.50550981593317e-14,1.30769855013999e-08,0.148,0.084,"Nav2",0,"Yes","Male-enriched"
"chr14-25458772-25459786",0.8733,1.62023475305093e-89,3.25689868649779e-84,0.72,0.528,"Zmiz1os1",0,"Yes","Male-enriched"
"chr5-119617678-119618261",0.8733,1.91640050691919e-24,3.85223331497854e-19,0.307,0.194,"Tbx3os1",0,"Yes","Male-enriched"
"chr10-122806797-122807815",0.8732,7.87998308946493e-76,1.5839869207457e-70,0.663,0.466,"Ppm1h",0,"Yes","Male-enriched"
"chr12-32729140-32729822",0.8732,6.18062184363537e-16,1.24239151927652e-10,0.179,0.105,"Nampt",90512,"Yes","Male-enriched"
"chr11-48918299-48919527",0.8731,3.19812110787067e-27,6.42867116377515e-22,0.327,0.205,"Gm12185",0,"Yes","Male-enriched"
"chr10-17799905-17800377",0.8731,1.69984215718352e-14,3.41692071384088e-09,0.166,0.097,"Gm20655",0,"Yes","Male-enriched"
"chr14-45993708-45994209",0.8731,1.68527368100409e-13,3.38763603713357e-08,0.154,0.09,"Gm15218",537,"Yes","Male-enriched"
"chr17-28027165-28027487",0.873,3.42202035740334e-17,6.87874000123076e-12,0.177,0.099,"Anks1",0,"Yes","Male-enriched"
"chr11-8439055-8439396",0.873,5.90347359367109e-13,1.1866808409582e-07,0.149,0.087,"Tns3",0,"Yes","Male-enriched"
"chr4-9015028-9016327",0.873,1.01923948385339e-11,2.04881405607305e-06,0.124,0.07,"Rps18-ps2",73371,"Yes","Male-enriched"
"chr14-118936891-118938887",0.8729,2.36133903131766e-150,4.74662204041288e-145,0.862,0.713,"Dnajc3",0,"Yes","Male-enriched"
"chr13-104094576-104095285",0.8729,2.70644061354919e-27,5.44032453491976e-22,0.298,0.175,"Nln",0,"Yes","Male-enriched"
"chr19-5648605-5649305",0.8729,3.02671997796378e-22,6.08413089650411e-17,0.232,0.133,"Rela",474,"Yes","Male-enriched"
"chr15-100124888-100125382",0.8729,3.6897431817966e-19,7.41690035945661e-14,0.206,0.118,"Dip2b",0,"Yes","Male-enriched"
"chr11-19018634-19020889",0.8728,9.17735422275768e-132,1.84477668173341e-126,0.824,0.643,"Meis1",0,"Yes","Male-enriched"
"chr5-93044013-93045415",0.8727,5.1953554982567e-19,1.04433919012657e-13,0.186,0.102,"Sowahb",0,"Yes","Male-enriched"
"chr7-117486304-117487569",0.8726,2.05464332316506e-34,4.13012072962701e-29,0.434,0.293,"Xylt1",0,"Yes","Male-enriched"
"chr8-125558400-125559242",0.8725,2.66684244848953e-30,5.36072667940674e-25,0.384,0.252,"Sipa1l2",65689,"Yes","Male-enriched"
"chr14-62836872-62838619",0.8722,4.99361564594562e-167,1.00378665545411e-161,0.875,0.724,"Gm26536",0,"Yes","Male-enriched"
"chr15-102256496-102259163",0.8722,2.50106736085136e-104,5.02749554474176e-99,0.794,0.65,"Rarg",0,"Yes","Male-enriched"
"chrX-73467476-73469152",0.8722,1.19146487432813e-40,2.39501120248195e-35,0.477,0.32,"Haus7",8431,"Yes","Male-enriched"
"chr6-72548899-72549498",0.8721,2.74736609922073e-32,5.52259049068757e-27,0.38,0.239,"Capg",0,"Yes","Male-enriched"
"chr14-63177171-63178705",0.872,4.01593994499188e-122,8.07260152102598e-117,0.811,0.633,"Fdft1",0,"Yes","Male-enriched"
"chr14-105176192-105177777",0.872,1.72987669868567e-103,3.47729434709601e-98,0.766,0.567,"Rbm26",0,"Yes","Male-enriched"
"chr10-42863671-42865251",0.8719,1.29281864638105e-69,2.59874647383641e-64,0.656,0.486,"Scml4",0,"Yes","Male-enriched"
"chr11-108335970-108336869",0.8719,1.45582777360892e-36,2.92641764084224e-31,0.404,0.257,"Prkca",0,"Yes","Male-enriched"
"chr6-50387723-50388095",0.8719,1.17683621452156e-14,2.36560554825836e-09,0.147,0.082,"Osbpl3",0,"Yes","Male-enriched"
"chr10-79864375-79866338",0.8718,1.83159818039797e-47,3.68176876634518e-42,0.546,0.387,"Ptbp1",0,"Yes","Male-enriched"
"chr10-108172880-108173590",0.8717,2.29284819576199e-68,4.60894587222901e-63,0.621,0.436,"Ppp1r12a",0,"Yes","Male-enriched"
"chr1-136175109-136175530",0.8717,1.06777288825249e-12,2.14637299359186e-07,0.139,0.08,"Kif21b",0,"Yes","Male-enriched"
"chr10-12614446-12616047",0.8716,1.12487215647599e-21,2.26115051661865e-16,0.279,0.175,"Utrn",0,"Yes","Male-enriched"
"chr15-98528124-98528388",0.8714,4.25606467716203e-26,8.55528585015048e-21,0.287,0.171,"Kansl2",0,"Yes","Male-enriched"
"chr10-111280400-111280779",0.8714,1.17420068869378e-12,2.36030777237091e-07,0.118,0.064,"Osbpl8",0,"Yes","Male-enriched"
"chr12-61781317-61782565",0.8714,1.57934005591121e-12,3.17469461998937e-07,0.14,0.081,"Lrfn5",0,"Yes","Male-enriched"
"chrX-18167000-18167274",0.8714,3.15908570689907e-11,6.35020454286609e-06,0.121,0.07,"Kdm6a",0,"Yes","Male-enriched"
"chr7-68072817-68073770",0.8713,1.07685479360234e-58,2.16462889481182e-53,0.587,0.407,"Igf1r",0,"Yes","Male-enriched"
"chr4-148163960-148164405",0.8712,3.39771579819743e-28,6.82988443458858e-23,0.356,0.229,"Fbxo2",0,"Yes","Male-enriched"
"chr10-21636017-21636992",0.8712,9.96442190742483e-10,0.000200298830529909,0.108,0.063,"1700020N01Rik",13640,"Yes","Male-enriched"
"chr10-84317788-84318498",0.871,2.39198148614587e-19,4.80821766456126e-14,0.235,0.142,"Nuak1",52406,"Yes","Male-enriched"
"chr9-65381026-65382007",0.8708,1.429463166115e-16,2.8734210887344e-11,0.192,0.113,"Ubap1l",648,"Yes","Male-enriched"
"chr10-66891449-66892325",0.8707,2.75684084491283e-22,5.54163605599309e-17,0.275,0.17,"1110002J07Rik",20163,"Yes","Male-enriched"
"chr14-52342981-52344110",0.8707,3.58275942716632e-21,7.20184803492411e-16,0.232,0.135,"Gm26328",97,"Yes","Male-enriched"
"chr6-13383344-13384916",0.8707,5.10188259937314e-09,0.00102554982883039,0.147,0.098,"1700016P04Rik",28420,"Yes","Male-enriched"
"chr10-69716799-69717320",0.8705,2.36810948079952e-10,4.76023159173436e-05,0.136,0.084,"Ank3",0,"Yes","Male-enriched"
"chr8-126909284-126909728",0.8704,8.87652571600505e-14,1.78430594027704e-08,0.154,0.089,"Tomm20",20935,"Yes","Male-enriched"
"chrX-96134335-96135788",0.8703,5.58207726665034e-44,1.12207567967845e-38,0.478,0.309,"Msn",0,"Yes","Male-enriched"
"chr14-78397537-78398404",0.8703,3.63439590651392e-22,7.30564458751989e-17,0.263,0.162,"Gm26197",86196,"Yes","Male-enriched"
"chr8-22264498-22265753",0.8701,1.19607519574633e-32,2.40427859397753e-27,0.418,0.281,"Thsd1",3163,"Yes","Male-enriched"
"chr1-172213381-172214137",0.8701,3.33673643324383e-16,6.70730737392075e-11,0.183,0.107,"Casq1",0,"Yes","Male-enriched"
"chr7-73421457-73422707",0.8699,3.88731326235812e-63,7.81404388119655e-58,0.608,0.412,"Rgma",1557,"Yes","Male-enriched"
"chr14-24273151-24273949",0.8699,1.85932641258826e-14,3.73750639500017e-09,0.161,0.093,"E330034G19Rik",19264,"Yes","Male-enriched"
"chr12-70011627-70012059",0.8695,3.24270504657419e-24,6.51829112232065e-19,0.291,0.179,"Nin",0,"Yes","Male-enriched"
"chr11-120753426-120753921",0.8694,1.44574833920637e-20,2.9061565665723e-15,0.217,0.123,"Hmga1-rs1",8872,"Yes","Male-enriched"
"chr11-19982039-19982449",0.8694,1.29630769575489e-18,2.60575995154473e-13,0.212,0.125,"Spred2",0,"Yes","Male-enriched"
"chr4-102556801-102557416",0.8694,1.17811940109651e-09,0.000236818493292014,0.117,0.07,"Pde4b",0,"Yes","Male-enriched"
"chr1-72874815-72875128",0.8693,2.93814846124364e-15,5.9060897478843e-10,0.185,0.112,"Igfbp5",0,"Yes","Male-enriched"
"chr13-15756185-15756623",0.8693,4.23308521803726e-14,8.50909392018541e-09,0.165,0.097,"Gli3",26158,"Yes","Male-enriched"
"chr5-142403771-142403977",0.8693,2.69098081119889e-13,5.40924816782333e-08,0.116,0.061,"Foxk1",0,"Yes","Male-enriched"
"chr6-31159367-31159584",0.8693,7.68361710047015e-10,0.000154451460783391,0.101,0.057,"Lincpint",0,"Yes","Male-enriched"
"chr6-91736302-91736846",0.8691,1.29646396224189e-36,2.60607406906091e-31,0.44,0.297,"Slc6a6",0,"Yes","Male-enriched"
"chr2-145850552-145851114",0.8691,6.30162732254059e-14,1.26671531461317e-08,0.145,0.081,"Rin2",0,"Yes","Male-enriched"
"chr18-61119972-61120814",0.869,1.13571561691292e-10,2.28294739018135e-05,0.102,0.056,"Csf1r",0,"Yes","Male-enriched"
"chr2-152884225-152884589",0.8688,3.00608515312942e-13,6.04265200971157e-08,0.136,0.077,"Tpx2",0,"Yes","Male-enriched"
"chr7-141434456-141434693",0.8688,2.0865059805105e-10,4.19416913166338e-05,0.116,0.067,"Slc25a22",0,"Yes","Male-enriched"
"chr9-62644450-62644974",0.8687,1.22922995889935e-32,2.47092430958194e-27,0.378,0.238,"Itga11",32851,"Yes","Male-enriched"
"chr6-137519336-137520672",0.8686,8.52222938271154e-45,1.71308741713638e-39,0.492,0.331,"Eps8",0,"Yes","Male-enriched"
"chr11-60465869-60466215",0.8686,2.37524011740405e-10,4.77456516959858e-05,0.117,0.068,"Drg2",0,"Yes","Male-enriched"
"chr15-64145450-64146188",0.8685,2.70533331573608e-10,5.43809871129373e-05,0.125,0.075,"Asap1",0,"Yes","Male-enriched"
"chr14-115091793-115092881",0.8683,5.38434295143601e-28,1.08232831403996e-22,0.326,0.2,"Gpc5",0,"Yes","Male-enriched"
"chr7-110259765-110260512",0.8683,5.20927126147163e-26,1.04713645335346e-20,0.317,0.199,"Swap70",0,"Yes","Male-enriched"
"chr11-62831801-62832378",0.8683,2.53020058096503e-21,5.08605739582105e-16,0.237,0.139,"Trim16",0,"Yes","Male-enriched"
"chr1-168517682-168519091",0.8682,4.35018176041586e-53,8.74447436388234e-48,0.527,0.344,"Mir6348",26919,"Yes","Male-enriched"
"chr14-46516010-46517762",0.868,1.5914337339887e-81,3.19900460604004e-76,0.709,0.541,"E130120K24Rik",38540,"Yes","Male-enriched"
"chr2-128324416-128325262",0.868,2.49812794352793e-12,5.02158690440323e-07,0.168,0.106,"Gm14005",0,"Yes","Male-enriched"
"chr13-99464458-99464938",0.868,1.25450123145621e-09,0.000252172310539939,0.127,0.079,"Map1b",0,"Yes","Male-enriched"
"chr3-8162084-8162914",0.868,1.80083937793333e-09,0.000361993926715891,0.154,0.103,"RP24-422L17.2",51417,"Yes","Male-enriched"
"chr14-64047253-64047682",0.8679,1.92676434527544e-15,3.87306608101198e-10,0.15,0.082,"Rp1l1",13748,"Yes","Male-enriched"
"chr3-59936390-59937252",0.8679,1.18181463013577e-12,2.37561286062112e-07,0.147,0.087,"C130079G13Rik",0,"Yes","Male-enriched"
"chr11-61619299-61620659",0.8677,4.21824430048142e-65,8.47926159816971e-60,0.619,0.424,"Grap",32605,"Yes","Male-enriched"
"chr19-56942180-56942601",0.8676,9.81476052521979e-16,1.97290427221653e-10,0.179,0.105,"Afap1l2",0,"Yes","Male-enriched"
"chr9-95657564-95658287",0.8675,7.19376902172661e-26,1.44604828613335e-20,0.284,0.169,"Pcolce2",0,"Yes","Male-enriched"
"chr3-127075195-127076080",0.8674,7.08210945051956e-26,1.42360314908674e-20,0.312,0.193,"Ank2",0,"Yes","Male-enriched"
"chr10-59576323-59576551",0.8674,1.43232714083853e-11,2.87917807888517e-06,0.113,0.062,"Mcu",0,"Yes","Male-enriched"
"chr14-59439626-59441551",0.8673,8.44901077965296e-91,1.69836945286116e-85,0.717,0.53,"Setdb2",0,"Yes","Male-enriched"
"chr1-64755604-64757753",0.8673,1.08608932482104e-55,2.18319159539577e-50,0.587,0.413,"RP24-388P13.2",14996,"Yes","Male-enriched"
"chr11-12373178-12374137",0.8672,2.02712799693854e-20,4.07481107176603e-15,0.255,0.159,"Cobl",0,"Yes","Male-enriched"
"chr4-139601399-139602371",0.8671,3.65432512534789e-87,7.3457051074668e-82,0.718,0.539,"Iffo2",0,"Yes","Male-enriched"
"chr13-32465279-32466539",0.867,3.76227860803338e-16,7.56270672115221e-11,0.218,0.138,"Gm11381",81590,"Yes","Male-enriched"
"chr2-157147560-157148135",0.867,7.5116894907788e-14,1.50995475129941e-08,0.145,0.082,"Rbl1",0,"Yes","Male-enriched"
"chr6-56783664-56784333",0.867,2.22822266429742e-12,4.47903950641081e-07,0.144,0.085,"Kbtbd2",0,"Yes","Male-enriched"
"chr2-91187286-91187866",0.8669,4.44249389080346e-29,8.93003466965967e-24,0.33,0.203,"Nr1h3",0,"Yes","Male-enriched"
"chr16-57528068-57528881",0.8669,3.52727294087822e-23,7.09031242937695e-18,0.243,0.139,"Cmss1",0,"Yes","Male-enriched"
"chr14-106010809-106012549",0.8668,1.25735474617059e-43,2.52745906946735e-38,0.497,0.336,"Gm4775",88203,"Yes","Male-enriched"
"chr3-102158794-102160172",0.8667,5.71210233821791e-45,1.14821253941454e-39,0.496,0.328,"Vangl1",0,"Yes","Male-enriched"
"chr15-52847390-52848553",0.8667,7.42098676988034e-22,1.49172223456073e-16,0.228,0.13,"Med30",116958,"Yes","Male-enriched"
"chr1-187447999-187448494",0.8667,3.71582707427883e-11,7.46933263509085e-06,0.115,0.065,"RP23-349L18.1",0,"Yes","Male-enriched"
"chr8-90578032-90578812",0.8666,2.51764441803146e-10,5.06081775046175e-05,0.166,0.111,"Tox3",229688,"Yes","Male-enriched"
"chr4-139255955-139256438",0.8665,3.33448507450503e-21,6.70278182766554e-16,0.232,0.135,"Capzb",0,"Yes","Male-enriched"
"chr14-57103435-57105031",0.8663,7.5328872946382e-17,1.5142158066444e-11,0.194,0.114,"Gjb2",0,"Yes","Male-enriched"
"chr10-120872448-120872909",0.8661,1.75725245179808e-15,3.53232344345739e-10,0.176,0.103,"Msrb3",0,"Yes","Male-enriched"
"chr11-4450956-4451482",0.866,1.77731414027309e-10,3.57265024592855e-05,0.121,0.071,"Hormad2",9850,"Yes","Male-enriched"
"chr14-76505332-76506598",0.8659,9.90864811365622e-90,1.99177699191849e-84,0.721,0.528,"Tsc22d1",0,"Yes","Male-enriched"
"chr8-83740923-83741441",0.8659,1.00072351389476e-27,2.01159436422041e-22,0.336,0.213,"Cd97",0,"Yes","Male-enriched"
"chr11-114662515-114663319",0.8659,3.43798731916647e-13,6.91083582974928e-08,0.132,0.073,"Gm11689",1288,"Yes","Male-enriched"
"chr10-57000939-57001686",0.8658,1.78795379612333e-28,3.59403744373936e-23,0.327,0.203,"Gm24285",172343,"Yes","Male-enriched"
"chr7-120205618-120206451",0.8658,1.97955089735343e-18,3.97917444080602e-13,0.233,0.144,"Abca14",0,"Yes","Male-enriched"
"chrX-19263608-19265026",0.8657,3.05723335314052e-20,6.14546705248189e-15,0.244,0.148,"Gm26652",25751,"Yes","Male-enriched"
"chr6-125197117-125197558",0.8656,3.26140920414802e-15,6.5558890976261e-10,0.16,0.091,"Mir3098",1238,"Yes","Male-enriched"
"chr10-61211591-61212054",0.8655,6.36235852286836e-18,1.27892313611586e-12,0.176,0.097,"Adamts14",0,"Yes","Male-enriched"
"chr8-83672966-83673286",0.8655,6.73778123919845e-10,0.000135438835801624,0.111,0.065,"Pkn1",0,"Yes","Male-enriched"
"chr15-51620518-51622310",0.8654,7.96190168391138e-28,1.60045370508976e-22,0.31,0.186,"Eif3h",164247,"Yes","Male-enriched"
"chr6-134606905-134607630",0.8654,1.29153078341207e-15,2.59615768896794e-10,0.209,0.13,"Mansc1",1579,"Yes","Male-enriched"
"chr9-50071751-50072398",0.8654,3.06040857559153e-14,6.15184969413956e-09,0.14,0.077,"Gm8907",113644,"Yes","Male-enriched"
"chr17-70794186-70794916",0.8654,1.65575736979092e-12,3.32830411931151e-07,0.146,0.087,"Dlgap1",0,"Yes","Male-enriched"
"chr10-28758766-28759695",0.8653,3.1790482081877e-12,6.39033196520642e-07,0.132,0.075,"Themis",0,"Yes","Male-enriched"
"chr11-32019636-32020866",0.8652,3.99508758758655e-23,8.03068536331123e-18,0.299,0.191,"Nsg2",0,"Yes","Male-enriched"
"chr6-120196895-120197115",0.8651,3.48634786887679e-15,7.008047305144e-10,0.161,0.091,"Ninj2",0,"Yes","Male-enriched"
"chr2-25379614-25380569",0.865,6.25310245043752e-44,1.25696113597225e-38,0.527,0.371,"Sapcd2",1400,"Yes","Male-enriched"
"chr1-153653710-153654039",0.865,1.35143929684106e-12,2.71658218815208e-07,0.131,0.073,"Rgs8",0,"Yes","Male-enriched"
"chr5-105636494-105637562",0.8649,4.50600179529871e-58,9.05769444880175e-53,0.578,0.396,"Lrrc8c",23475,"Yes","Male-enriched"
"chr5-91278503-91278843",0.8649,2.5651997618927e-13,5.15641064937099e-08,0.135,0.075,"Gm23092",60498,"Yes","Male-enriched"
"chr9-95809587-95809924",0.8648,3.9534045356473e-24,7.94689659328606e-19,0.253,0.145,"Pls1",0,"Yes","Male-enriched"
"chr17-10268504-10270054",0.8648,7.00234737392966e-20,1.4075698550231e-14,0.248,0.153,"Qk",0,"Yes","Male-enriched"
"chr16-32398180-32398547",0.8648,2.40927932587485e-11,4.84298874411406e-06,0.103,0.055,"Tm4sf19",1958,"Yes","Male-enriched"
"chr17-26582181-26582725",0.8647,1.46345924118221e-42,2.94175795907002e-37,0.46,0.295,"Ergic1",0,"Yes","Male-enriched"
"chr8-124294759-124295651",0.8647,3.9175788419617e-20,7.87488193338088e-15,0.221,0.128,"Gm20388",0,"Yes","Male-enriched"
"chr14-55721512-55722425",0.8646,1.84940331893332e-63,3.71755958752063e-58,0.628,0.441,"Rabggta",0,"Yes","Male-enriched"
"chr16-85115767-85116544",0.8646,7.77627806108229e-27,1.5631407581704e-21,0.366,0.245,"App",0,"Yes","Male-enriched"
