"SYMBOL","peak","annotation","distanceToTSS","peak_log2FC","rna_log2FC","rna_padj"
"Ankrd29","chr18-12283343-12283899","Promoter (<=1kb)",-998,-1.93299056185322,NA,NA
"Sytl2","chr7-90347310-90348522","Promoter (<=1kb)",-176,-1.92755993803795,-0.603833934193623,4.15514569991604e-107
"St6galnac2","chr11-116679041-116679619","Promoter (<=1kb)",59,-1.92697337063938,NA,NA
"Zcchc17","chr4-130318025-130318970","Promoter (<=1kb)",0,-1.92522134646919,-0.156405710385074,0.168996285074503
"Col7a1","chr9-108952497-108953782","Promoter (<=1kb)",0,-1.9219722442085,-0.248296443552383,3.74331223464059e-45
"Scube3","chr17-28157292-28157671","Promoter (1-2kb)",-1203,-1.92103392537901,NA,NA
"Gm5122","chr9-61015450-61016015","Promoter (1-2kb)",-1054,-1.92081672945031,NA,NA
"Acyp1","chr12-85281127-85281509","Promoter (<=1kb)",-692,-1.91977229856793,0.00364657328954326,1
"C1ql1","chr11-102948275-102948967","Promoter (1-2kb)",-1587,-1.91338936886989,-0.675854439916619,2.70066229136449e-136
"Garnl3","chr2-33036409-33037861","Promoter (1-2kb)",-1625,-1.90954329334069,-0.25138334481012,4.363420901637e-23
"Samhd1","chr2-157136316-157137158","Promoter (1-2kb)",-1051,-1.90738131160783,0.303327480064439,1.0023172938809e-47
"Misfa","chr7-46985731-46987580","Promoter (<=1kb)",0,-1.90690820839395,NA,NA
"Pgbd5","chr8-124375006-124376298","Promoter (<=1kb)",0,-1.90614414281497,NA,NA
"Scn2a","chr2-65667742-65669184","Promoter (<=1kb)",0,-1.90207271482301,NA,NA
"Aopep","chr13-63106580-63107035","Promoter (<=1kb)",-487,-1.9004318950323,0.238637841202885,1
"1700084J12Rik","chr15-33407690-33408367","Promoter (1-2kb)",-1714,-1.89848931661847,NA,NA
"Calm3","chr7-16917887-16919003","Promoter (<=1kb)",-722,-1.89676154795637,-0.114386251452534,1
"Prdm8","chr5-98166909-98168832","Promoter (<=1kb)",0,-1.89261322033574,NA,NA
"Spdef","chr17-27720116-27720997","Promoter (1-2kb)",-1767,-1.89246867633705,NA,NA
"Abca3","chr17-24362458-24362954","Promoter (1-2kb)",-1528,-1.89200819745385,0.0775365461392339,1
"Cpa2","chr6-30549068-30549952","Promoter (1-2kb)",-1951,-1.88666395625484,NA,NA
"Pmm1","chr15-81954120-81954369","Promoter (<=1kb)",-616,-1.88526060591773,-0.13429986294076,1
"Psors1c2","chr17-35531433-35532075","Promoter (1-2kb)",-1126,-1.88516716598501,NA,NA
"Vmn1r59","chr7-5453441-5454430","Promoter (<=1kb)",329,-1.88241072714591,NA,NA
"Abi3bp","chr16-56477599-56479042","Promoter (<=1kb)",0,-1.87942333616722,NA,NA
"Erlin2","chr8-27028966-27029261","Promoter (<=1kb)",-114,-1.87545333378577,-0.137783768272365,0.077903645536021
"Stra6","chr9-58130452-58132208","Promoter (<=1kb)",0,-1.87445452323923,NA,NA
"Hip1","chr5-135459994-135461442","Promoter (1-2kb)",-1789,-1.87154370039987,-0.244843461179073,4.23752671300819e-07
"Map2k6","chr11-110477962-110479451","Promoter (<=1kb)",0,-1.87073364918177,NA,NA
"Lix1","chr17-17448493-17449816","Promoter (<=1kb)",0,-1.86551623730206,-0.0403933699338451,1
"Mir7214","chr17-27317193-27318730","Promoter (<=1kb)",-98,-1.86424254002803,NA,NA
"Acot3","chr12-84038067-84039100","Promoter (<=1kb)",0,-1.86088364427581,NA,NA
"Foxa2","chr2-148044548-148046572","Promoter (<=1kb)",0,-1.85974955719598,NA,NA
"1700052I22Rik","chr12-80925618-80926320","Promoter (1-2kb)",-1169,-1.85872787663434,NA,NA
"Mir6345","chr1-93349563-93350356","Promoter (1-2kb)",-1802,-1.85706721922728,NA,NA
"Fryl","chr5-73047361-73048280","Promoter (<=1kb)",-360,-1.85594056716269,0.255828680683744,1.65204017972165e-09
"Ehmt1","chr2-24807031-24807442","Promoter (<=1kb)",0,-1.85446950589836,-0.117480015938597,0.042693557000105
"Kdm4b","chr17-56370163-56371208","Promoter (1-2kb)",-1087,-1.84714675678983,NA,NA
"Stox2","chr8-47286656-47289603","Promoter (<=1kb)",0,-1.84714081013291,-0.626030052529424,1.92479115249219e-118
"Gpr141","chr13-19823801-19824502","Promoter (<=1kb)",0,-1.84504190023466,NA,NA
"Macf1","chr4-123613189-123613919","Promoter (<=1kb)",0,-1.84170098352905,-0.849469831598189,2.23704704892312e-180
"1700011B04Rik","chr13-35177236-35178479","Promoter (1-2kb)",-1535,-1.83977891362648,NA,NA
"Arhgef5","chr6-43272384-43273080","Promoter (1-2kb)",-1431,-1.83434820948748,NA,NA
"Cse1l","chr2-166925562-166926164","Promoter (1-2kb)",-1366,-1.8281350665316,-0.141606923321257,0.037150479974922
"Adrb3","chr8-27249661-27250308","Promoter (<=1kb)",308,-1.82452042503188,NA,NA
"Adam19","chr11-46055377-46056790","Promoter (<=1kb)",0,-1.82330146343945,NA,NA
"2310002D06Rik","chr12-80504632-80506196","Promoter (1-2kb)",-1010,-1.82058312660906,NA,NA
"Slc13a4","chr6-35287611-35289192","Promoter (<=1kb)",0,-1.82045897819073,NA,NA
"Serpinf1","chr11-75414812-75415637","Promoter (<=1kb)",0,-1.81952907891724,-1.57736702694034,0
"Txndc11","chr16-11086640-11087611","Promoter (<=1kb)",0,-1.81487920472679,0.0420050277148796,1
"Slc14a2","chr18-78205767-78206535","Promoter (<=1kb)",0,-1.81389959063477,NA,NA
"Mcph1","chr8-18630193-18631148","Promoter (1-2kb)",-1444,-1.80772563219269,-0.0493005970429022,1
"Serpina1f","chr12-103695984-103696651","Promoter (<=1kb)",-455,-1.80735611368191,NA,NA
"Irs1","chr1-82292779-82293132","Promoter (1-2kb)",-1363,-1.80371606733279,-1.03029452832991,6.73289247043967e-199
"Gtf2h2","chr13-100460955-100462185","Promoter (<=1kb)",0,-1.80182282959631,0.0188975725076864,1
"2010009K17Rik","chr2-158093099-158094030","Promoter (1-2kb)",-1302,-1.79778653281907,NA,NA
"Chd7","chr4-8749879-8750594","Promoter (<=1kb)",-844,-1.79313331454247,-0.207581207111086,9.16798784895891e-09
"Afap1l2","chr19-57002956-57003744","Promoter (1-2kb)",-1910,-1.79298522684788,-0.253521949663547,8.07875169310917e-26
"Pole","chr5-110326090-110326958","Promoter (<=1kb)",-661,-1.79248135826865,-0.110854593776988,1
"Spata45","chr1-191035236-191036264","Promoter (<=1kb)",-375,-1.79000566797892,NA,NA
"Pnma8b","chr7-16944133-16945087","Promoter (<=1kb)",0,-1.78881952551122,NA,NA
"Acsbg1","chr9-54642173-54643170","Promoter (<=1kb)",0,-1.78450038149738,NA,NA
"Stk3","chr15-35000125-35000694","Promoter (<=1kb)",-203,-1.7818803917479,-0.0226502159254446,1
"Mir6407","chr19-53010444-53011253","Promoter (<=1kb)",0,-1.77950491519258,NA,NA
"Tenm2","chr11-37235818-37237067","Promoter (<=1kb)",0,-1.77438702549304,NA,NA
"Alas1","chr9-106236375-106237808","Promoter (<=1kb)",0,-1.77347860913939,-0.333672377516652,1.08333724841682e-25
"Ulbp1","chr10-7472512-7474342","Promoter (<=1kb)",0,-1.76923659531882,-0.227229152992683,2.16918498279167e-39
"Syndig1","chr2-149830045-149831563","Promoter (<=1kb)",0,-1.7671256550282,NA,NA
"Ralgapb","chr2-158477409-158478178","Promoter (<=1kb)",0,-1.7585244569145,-0.036939284131298,1
"Gas2l3","chr10-89434599-89435140","Promoter (<=1kb)",0,-1.74994280900635,-0.101412537508,1
"Rps6ka2","chr17-7227382-7229387","Promoter (<=1kb)",0,-1.74880037938865,-0.148160944365196,3.02656078656494e-06
"Atp6v1c1","chr15-38659853-38660543","Promoter (1-2kb)",-1390,-1.7440093322322,-0.0400691796711173,1
"Gpr25","chr1-136261919-136262527","Promoter (1-2kb)",-1046,-1.7427236722413,NA,NA
"Speer3","chr5-13792085-13793931","Promoter (<=1kb)",466,-1.74097673440613,NA,NA
"Csmd1","chr8-17534432-17535684","Promoter (<=1kb)",0,-1.74076052629677,NA,NA
"Rassf3","chr10-121461041-121462419","Promoter (<=1kb)",0,-1.74043399769344,-0.0103565871535157,1
"Gria4","chr9-4795006-4796630","Promoter (<=1kb)",0,-1.73794158215392,-0.924952246873226,6.04139307950856e-163
"Mylk","chr16-34782325-34782974","Promoter (1-2kb)",-1947,-1.73421604347117,-0.471110538660845,1.71685907101389e-57
"4930433B08Rik","chr3-18479207-18480312","Promoter (<=1kb)",165,-1.73230898215813,NA,NA
"Mylk3","chr8-85380274-85381348","Promoter (<=1kb)",0,-1.73009926197396,NA,NA
"Shisa6","chr11-66525402-66527196","Promoter (<=1kb)",0,-1.72907548778133,NA,NA
"Necab3","chr2-154560746-154561190","Promoter (1-2kb)",-1856,-1.72608650347294,NA,NA
"1700069L16Rik","chr5-113726468-113726988","Promoter (1-2kb)",-1696,-1.72568366233079,NA,NA
"Zbtb43","chr2-33465775-33466366","Promoter (<=1kb)",-693,-1.72367687810392,-0.199402798241008,1.00689281672212e-15
"Tspan33","chr6-29707435-29708206","Promoter (<=1kb)",0,-1.72250925210106,NA,NA
"Slc9a9","chr9-95120127-95121676","Promoter (<=1kb)",-10,-1.72053651592555,NA,NA
"Nr1i3","chr1-171212324-171213187","Promoter (<=1kb)",-783,-1.72052579081383,NA,NA
"Ccdc13","chr9-121809561-121810474","Promoter (<=1kb)",0,-1.71571155611672,NA,NA
"Prl6a1","chr13-27312104-27313122","Promoter (<=1kb)",0,-1.71445401611196,NA,NA
"Alkal1","chr1-6358665-6359585","Promoter (<=1kb)",0,-1.71122929217143,-0.981905652923021,1.51104897064533e-179
"Yjefn3","chr8-69893220-69895190","Promoter (<=1kb)",0,-1.7097384385832,NA,NA
"Fgfr2","chr7-130176838-130177721","Promoter (<=1kb)",343,-1.70561056159954,-0.112010698598199,0.0504020915309577
"Ankk1","chr9-49426949-49428151","Promoter (<=1kb)",0,-1.70454088729147,NA,NA
"Plekhs1","chr19-56460096-56460642","Promoter (<=1kb)",-998,-1.70410486436227,NA,NA
"Pld5","chr1-176274408-176275872","Promoter (<=1kb)",0,-1.70405866335261,NA,NA
"Thrsp","chr7-97418571-97419339","Promoter (<=1kb)",-841,-1.7037282456236,NA,NA
"Cacna1i","chr15-80386810-80387967","Promoter (1-2kb)",-1361,-1.70359097256716,NA,NA
"Siglecg","chr7-43408637-43409785","Promoter (<=1kb)",164,-1.70302569258645,-0.338247182353779,3.51755962901158e-43
"Ttc7b","chr12-100385888-100386549","Promoter (<=1kb)",0,-1.70023144507933,NA,NA
"Vwf","chr6-125684826-125685305","Promoter (<=1kb)",-432,-1.69740357935628,NA,NA
"Hspb1","chr5-135887423-135888054","Promoter (<=1kb)",0,-1.69555941720015,-1.62795852561643,0
"Smg7","chr1-152871879-152872538","Promoter (<=1kb)",-721,-1.69365905768822,-0.054573183861779,1
"Crtc3","chr7-80631404-80632348","Promoter (1-2kb)",-1697,-1.68992053755535,-0.0497070763875108,1
"Cfap54","chr10-92942204-92943595","Promoter (1-2kb)",-1907,-1.68527901895448,NA,NA
"Nprl3","chr11-32233814-32234426","Promoter (<=1kb)",0,-1.67752293516493,0.0580008157056049,1
"Slc35f1","chr10-52690092-52691879","Promoter (<=1kb)",0,-1.67495485434874,-0.917810794553133,1.943637468651e-177
"Gpr158","chr2-21367148-21368020","Promoter (<=1kb)",0,-1.67419594867024,NA,NA
"Ubqln4","chr3-88561967-88562396","Promoter (1-2kb)",-1511,-1.67376202279251,0.0463299962187346,1
"Crim1","chr17-78279275-78280026","Promoter (<=1kb)",-157,-1.6729163559317,-0.29260709686462,1.24564615084172e-24
"Clmn","chr12-104858779-104859614","Promoter (<=1kb)",128,-1.67280893012513,NA,NA
"Hps1","chr19-42758111-42758874","Promoter (<=1kb)",-282,-1.67196675593681,0.117591320681247,3.49803743167008e-19
"Zfp983","chr17-21648604-21649251","Promoter (1-2kb)",-1373,-1.67062119150246,NA,NA
"Gpbar1","chr1-74277879-74278244","Promoter (<=1kb)",-306,-1.66890851666882,NA,NA
"Tmem252","chr19-24671324-24672022","Promoter (1-2kb)",-1986,-1.66675121783603,NA,NA
"Dpp6","chr5-26903805-26904978","Promoter (<=1kb)",0,-1.6660558402646,NA,NA
"Rsad2","chr12-26455813-26456739","Promoter (<=1kb)",0,-1.66584186353125,NA,NA
"Gm2694","chr8-87471815-87473635","Promoter (<=1kb)",0,-1.66565669949159,NA,NA
"Zbtb16","chr9-48834768-48836653","Promoter (<=1kb)",0,-1.66502929574865,NA,NA
"Sympk","chr7-19052383-19053121","Promoter (<=1kb)",0,-1.6629243017934,0.0622603096417875,1
"1700011C11Rik","chr7-71960396-71961235","Promoter (<=1kb)",0,-1.66042319394153,NA,NA
"Tmem51os1","chr4-142083654-142084710","Promoter (<=1kb)",0,-1.65688342691666,NA,NA
"Cst3","chr2-148877132-148877599","Promoter (1-2kb)",-1440,-1.65595000185878,-1.54136614094326,0
"Gypc","chr18-32559208-32560283","Promoter (<=1kb)",0,-1.65463091741947,NA,NA
"Ptprt","chr2-162660246-162661345","Promoter (<=1kb)",0,-1.65235573851621,NA,NA
"Arl14epl","chr18-46918695-46921135","Promoter (<=1kb)",-680,-1.65200412012925,NA,NA
"Rara","chr11-98925512-98926063","Promoter (1-2kb)",-1755,-1.65053162811685,0.165983510317549,9.71528404089322e-23
"Pdf","chr8-107050238-107050789","Promoter (1-2kb)",-1624,-1.64983610872655,NA,NA
"Emid1","chr11-5128688-5129986","Promoter (<=1kb)",0,-1.64801878711903,NA,NA
"Car9","chr4-43506489-43507129","Promoter (<=1kb)",0,-1.64635536390595,NA,NA
"Erich2","chr2-70507970-70509734","Promoter (<=1kb)",0,-1.6455685983548,NA,NA
"Eya2","chr2-165768841-165769673","Promoter (<=1kb)",0,-1.645546780873,NA,NA
"Ptprf","chr4-118219152-118219925","Promoter (1-2kb)",-1472,-1.6445485140868,0.387902556069534,7.96466389434102e-47
"Kcnip1","chr11-33992247-33993574","Promoter (<=1kb)",0,-1.64306344727577,-0.147467043737393,0.472096016952081
"Adcy8","chr15-64920332-64922667","Promoter (<=1kb)",0,-1.6402942672026,NA,NA
"Uqcc2","chr17-27134700-27135155","Promoter (<=1kb)",-784,-1.6392638077042,-0.0736522780806272,1
"Gad1","chr2-70560992-70563645","Promoter (<=1kb)",0,-1.63648140390568,NA,NA
"Rasgef1b","chr5-99241895-99242857","Promoter (<=1kb)",383,-1.63376605620581,NA,NA
"Dscam","chr16-97169898-97170988","Promoter (<=1kb)",0,-1.63238228143889,NA,NA
"Abcg2","chr6-58638252-58638806","Promoter (1-2kb)",-1740,-1.63221248616505,-0.960691336606741,8.0007532102237e-188
"A530006G24Rik","chr2-147710522-147711184","Promoter (<=1kb)",0,-1.63192399189101,NA,NA
"Gle1","chr2-29948438-29949329","Promoter (<=1kb)",0,-1.6308621025477,-0.26721979280271,9.39628241893857e-16
"Lonrf2","chr1-38835533-38836844","Promoter (<=1kb)",0,-1.62683259774594,NA,NA
"Prdm16","chr4-154336463-154337021","Promoter (1-2kb)",-1541,-1.6263111248129,0.439159317590948,4.41085133810539e-41
"Zfhx4","chr3-5218223-5218706","Promoter (<=1kb)",0,-1.62560134842009,-1.03808741444586,2.54647173436023e-201
"Vsig2","chr9-37540427-37541434","Promoter (<=1kb)",0,-1.62506958262592,NA,NA
"Ryr3","chr2-113216094-113217784","Promoter (<=1kb)",0,-1.62402892960497,-1.3243324025957,8.41317950539336e-210
"Usp7","chr16-8703630-8704105","Promoter (<=1kb)",0,-1.6236565125583,-0.08049393086792,1
"Pax2","chr19-44754683-44757598","Promoter (<=1kb)",0,-1.61914422215524,-0.229032803131929,8.17488455801106e-41
"Mllt1","chr17-56907918-56908977","Promoter (1-2kb)",-1697,-1.61844098886693,-0.0788185166526313,1
"Zscan18","chr7-12802639-12803933","Promoter (<=1kb)",0,-1.61724895627647,NA,NA
"Wfs1","chr5-36977959-36979772","Promoter (1-2kb)",-1003,-1.61590683608668,NA,NA
"Rell1","chr5-63969513-63971092","Promoter (<=1kb)",-616,-1.61563850758232,-0.450825553117087,8.13500898271413e-51
"Mir28c","chr15-53613784-53614376","Promoter (<=1kb)",0,-1.61089510909044,NA,NA
"Tex29","chr8-11841343-11842121","Promoter (<=1kb)",0,-1.61065952139354,NA,NA
"Lpar2","chr8-69820493-69820760","Promoter (1-2kb)",-1669,-1.60889661237323,NA,NA
"Unc5b","chr10-60821782-60822266","Promoter (1-2kb)",-1141,-1.60717757516098,0.159016383523326,0.102805486348489
"Rhbdl2","chr4-123797543-123798250","Promoter (<=1kb)",0,-1.60381500060462,NA,NA
"Notum","chr11-120662707-120663263","Promoter (1-2kb)",-1532,-1.60252998910987,NA,NA
"St6galnac3","chr3-153724304-153725561","Promoter (<=1kb)",0,-1.60231947167641,NA,NA
"Tle3","chr9-61408866-61409465","Promoter (<=1kb)",-472,-1.60188675873805,0.0509208534985471,1
"Bmp7","chr2-172939215-172940912","Promoter (<=1kb)",0,-1.59883991052317,NA,NA
"Fnbp1","chr2-31106503-31107680","Promoter (1-2kb)",-1053,-1.59844000332977,-0.209034864502593,2.13992888109535e-07
"Gpr107","chr2-31209521-31210885","Promoter (<=1kb)",0,-1.59755174398686,-0.266594864848012,3.04738422360336e-19
"Kcnq2","chr2-181137004-181137204","Promoter (1-2kb)",-1704,-1.59229559760523,NA,NA
"7530416G11Rik","chr15-85505140-85506106","Promoter (1-2kb)",-1913,-1.59161709277599,NA,NA
"Lpcat2","chr8-92855138-92856030","Promoter (<=1kb)",0,-1.58960913278391,NA,NA
"Hpgds","chr6-65140100-65141266","Promoter (1-2kb)",-1829,-1.58652684326119,NA,NA
"Cotl1","chr8-119824000-119825144","Promoter (1-2kb)",-1283,-1.5848874428104,-1.21863577904179,3.69206100209743e-294
"Eno1","chr4-150245937-150246242","Promoter (<=1kb)",-155,-1.58394974781675,-0.327265298097018,1.80969660021137e-35
"Thbs2","chr17-14693039-14694498","Promoter (<=1kb)",0,-1.58279698491762,NA,NA
"Gpat4","chr8-23191267-23191869","Promoter (<=1kb)",-329,-1.57976850760878,-0.0932150881992699,1
"Dnajc1","chr2-18219158-18220087","Promoter (<=1kb)",0,-1.57841563410903,-0.260394668334472,5.2840452660454e-18
"Dmrta2","chr4-109977272-109978836","Promoter (<=1kb)",0,-1.57818097068759,-0.355896269758688,2.12416280329115e-58
"Fgf5","chr5-98253502-98254935","Promoter (<=1kb)",0,-1.57768819306287,NA,NA
"Lyrm1","chr7-119898132-119898697","Promoter (1-2kb)",-1411,-1.57642583860953,NA,NA
"Sytl1","chr4-133261756-133263240","Promoter (<=1kb)",0,-1.57636817204033,NA,NA
"Dact2","chr17-14202178-14203960","Promoter (<=1kb)",134,-1.57630854004135,NA,NA
"Arhgef10l","chr4-140581501-140582483","Promoter (<=1kb)",0,-1.57493395521042,-0.106650580159762,0.000366184653350605
"Kmt5a","chr5-124438266-124438474","Promoter (1-2kb)",-1456,-1.57426484222127,-0.326150386169561,1.06031655389071e-26
"Tcf7l1","chr6-72673388-72674224","Promoter (1-2kb)",-1984,-1.56938270131348,0.236066755212693,4.69057562480005e-13
"Alg8","chr7-97385447-97387481","Promoter (<=1kb)",0,-1.56886525685795,-0.0166071199911812,1
"Cdh5","chr8-104098735-104100234","Promoter (1-2kb)",-1391,-1.56283242306339,NA,NA
"Them6","chr15-74719509-74719796","Promoter (1-2kb)",-1408,-1.56002246868806,NA,NA
"Mir6984","chr19-3288705-3289687","Promoter (<=1kb)",0,-1.56001387400104,NA,NA
"Gabbr1","chr17-37061076-37062721","Promoter (<=1kb)",-263,-1.55517170455357,-0.109406914689505,0.0316008854466107
"Ralgds","chr2-28543772-28544200","Promoter (1-2kb)",-1093,-1.55490769325798,-0.118325573685767,0.000647446617619967
"Prkcb","chr7-122288558-122289999","Promoter (<=1kb)",0,-1.55141973648468,NA,NA
"Gm10030","chr9-110998382-111000274","Promoter (<=1kb)",-100,-1.54917544758453,NA,NA
"Adamts2","chr11-50601315-50603442","Promoter (<=1kb)",0,-1.54816079521357,NA,NA
"Clstn2","chr9-98032018-98033816","Promoter (<=1kb)",0,-1.54339041380495,NA,NA
"Abca4","chr3-122072671-122073666","Promoter (<=1kb)",-788,-1.5430881274373,NA,NA
"Slc24a4","chr12-102127960-102129746","Promoter (<=1kb)",0,-1.53803203683595,NA,NA
"Haus3","chr5-34170809-34171086","Promoter (1-2kb)",-1282,-1.53661339058792,-0.0893637629151386,1
"Srcin1","chr11-97576466-97576922","Promoter (1-2kb)",-1240,-1.5313216435487,NA,NA
"Prkd2","chr7-16845401-16845981","Promoter (<=1kb)",0,-1.5313067553106,NA,NA
"Iftap","chr2-101584718-101585533","Promoter (<=1kb)",0,-1.52932003674352,NA,NA
"Rgs12","chr5-35022001-35022914","Promoter (<=1kb)",0,-1.52625248701438,-0.00780669544059431,1
"Setd3","chr12-108116072-108116689","Promoter (<=1kb)",-989,-1.52417628266524,-0.0715048989852828,1
"Magi2","chr5-19907465-19909307","Promoter (<=1kb)",0,-1.52245877928131,-0.0377385981832148,1
"Rerg","chr6-137169032-137170831","Promoter (<=1kb)",0,-1.52083877519877,NA,NA
"Tmem86a","chr7-47051728-47052939","Promoter (<=1kb)",0,-1.51998687981709,NA,NA
"Ptgs2os2","chr1-150164571-150165683","Promoter (<=1kb)",0,-1.51748910251555,NA,NA
"Bmp1","chr14-70504972-70506392","Promoter (<=1kb)",0,-1.51747563063421,-0.122170022224778,0.142990008650855
"Bend5","chr4-111414152-111415573","Promoter (<=1kb)",0,-1.51422857937273,NA,NA
"Rnf141","chr7-110823252-110824623","Promoter (1-2kb)",-1644,-1.51290961610171,0.00657474074706954,1
"Rbm20","chr19-53676187-53677985","Promoter (<=1kb)",0,-1.51229751762805,-0.645584137937446,8.80604965765623e-119
"Pcsk7","chr9-45917183-45918051","Promoter (<=1kb)",-542,-1.50973850332773,-0.159778452828405,9.11239560390273e-07
"Ptgs1","chr2-36242661-36244433","Promoter (<=1kb)",186,-1.50611491544311,NA,NA
"Orm3","chr4-63354562-63355006","Promoter (1-2kb)",-1156,-1.50534932290121,NA,NA
"Nkain1","chr4-130576008-130577015","Promoter (1-2kb)",-1835,-1.50385836746054,NA,NA
"Plxnd1","chr6-115961674-115962167","Promoter (1-2kb)",-1647,-1.50096379118386,-0.209377216145169,2.36645482456747e-25
"Ndufa7","chr17-33828906-33829281","Promoter (<=1kb)",0,-1.49950112985917,0.160952000206464,3.55839553315352e-08
"Blnk","chr19-40993886-40994382","Promoter (<=1kb)",0,-1.49664045178474,NA,NA
"Tg","chr15-66715348-66716260","Promoter (<=1kb)",0,-1.49451896557835,NA,NA
"Bcas1","chr2-170389608-170389942","Promoter (1-2kb)",-1605,-1.49451275248514,NA,NA
"Tns4","chr11-99076483-99077346","Promoter (1-2kb)",-1142,-1.49169460906312,NA,NA
"Slc2a3","chr6-122741392-122742908","Promoter (<=1kb)",0,-1.49096978361308,-0.674285692104988,9.62323911709944e-127
"Ulk4","chr9-121106860-121108444","Promoter (<=1kb)",81,-1.49081937378234,-0.0331293156041323,1
"Mir5626","chr9-70406445-70406999","Promoter (<=1kb)",-692,-1.48941406367937,NA,NA
"Prxl2a","chr14-41007713-41008657","Promoter (<=1kb)",0,-1.48889643377413,NA,NA
"Tomm20l","chr12-71109443-71110104","Promoter (1-2kb)",-1324,-1.48766756949723,NA,NA
"Sp8","chr12-118846328-118847552","Promoter (<=1kb)",0,-1.48589681513927,-0.389419483273023,9.41404452988567e-70
"En2","chr5-28165225-28167324","Promoter (<=1kb)",0,-1.484873678379,-0.233582725695196,9.08655701798888e-42
"C130021I20Rik","chr2-33640410-33641244","Promoter (<=1kb)",0,-1.48456527697832,NA,NA
"Kif26a","chr12-112145173-112146659","Promoter (<=1kb)",0,-1.48453946575561,NA,NA
"Lgals12","chr19-7605057-7607273","Promoter (<=1kb)",0,-1.48003909408867,NA,NA
"Ssbp3","chr4-106953765-106954257","Promoter (1-2kb)",-1602,-1.47895502158767,-0.0212829209464535,1
"Cdk5rap2","chr4-70243579-70244537","Promoter (<=1kb)",0,-1.47722229988895,-0.185641009947955,0.00100397681656585
"Yars1","chr4-129211465-129211807","Promoter (<=1kb)",-437,-1.47449515816998,NA,NA
"Ccny","chr18-9387315-9388248","Promoter (<=1kb)",-506,-1.47130035870254,-0.145721571224519,0.0288513804956426
"8430426J06Rik","chr15-81246851-81248475","Promoter (<=1kb)",0,-1.46909733907299,NA,NA
"Cpt1a","chr19-3333163-3334606","Promoter (<=1kb)",0,-1.45755956762133,-0.308291145991621,4.60337303614729e-32
"Nsg1","chr5-38158676-38160058","Promoter (<=1kb)",0,-1.45733842219266,-0.376450143618628,6.96818569126605e-72
"Cnn3","chr3-121447836-121449003","Promoter (<=1kb)",-763,-1.45525579232853,-0.792425269080662,8.61092329959468e-177
"Cd34","chr1-194938514-194939267","Promoter (<=1kb)",0,-1.45506404972626,-1.10490155740333,7.52290355729312e-214
"Hip1r","chr5-123978022-123978369","Promoter (1-2kb)",-1885,-1.45427441433272,-0.0560413985947157,1
"Kat14","chr2-144374123-144374825","Promoter (<=1kb)",320,-1.45325682039324,-0.0868413263295958,1
"Slc20a1","chr2-129206142-129207217","Promoter (<=1kb)",0,-1.45269361447652,-0.622693734171086,4.1349106381969e-76
"Elovl2","chr13-41219889-41220820","Promoter (<=1kb)",0,-1.45228995009123,NA,NA
"1700119H24Rik","chr16-34941209-34942350","Promoter (1-2kb)",-1880,-1.45138950305554,NA,NA
"Impa2","chr18-67307835-67308672","Promoter (<=1kb)",0,-1.44886908125433,-0.00365889975426426,1
"Wfdc1","chr8-119666143-119667168","Promoter (<=1kb)",0,-1.44854330260428,NA,NA
"Il34","chr8-110788780-110790537","Promoter (<=1kb)",351,-1.44843188400262,NA,NA
"Nipal4","chr11-46165877-46166704","Promoter (<=1kb)",0,-1.44439092565526,NA,NA
"Gm31938","chr12-4523106-4524111","Promoter (<=1kb)",-2,-1.44242605835597,NA,NA
"Rtn1","chr12-72236293-72237090","Promoter (<=1kb)",0,-1.44124329375589,NA,NA
"E130215H24Rik","chr2-150667409-150668687","Promoter (<=1kb)",0,-1.44068502781005,NA,NA
"Serpina3h","chr12-104247110-104247988","Promoter (<=1kb)",0,-1.43995141357609,NA,NA
"Notch1","chr2-26515242-26516842","Promoter (<=1kb)",0,-1.43583393946765,-0.130628083979702,0.000271121119513316
"Smoc2","chr17-14279110-14280111","Promoter (<=1kb)",0,-1.43320357832551,NA,NA
"Acot12","chr13-91779395-91780381","Promoter (<=1kb)",67,-1.43141347255579,NA,NA
"Spmip11","chr15-98570943-98571351","Promoter (<=1kb)",0,-1.42880300446349,NA,NA
"Grip1","chr10-119452865-119455831","Promoter (<=1kb)",0,-1.42655641548317,-0.479385185353533,1.21238579134157e-75
"Mir6417","chr5-52135174-52135963","Promoter (<=1kb)",54,-1.42646971865428,NA,NA
"Tspan11","chr6-127887062-127889051","Promoter (<=1kb)",0,-1.42623467217115,NA,NA
"Apba2","chr7-64728138-64729553","Promoter (<=1kb)",0,-1.42604035934283,NA,NA
"Ddit4l","chr3-137622572-137624495","Promoter (<=1kb)",0,-1.42437306781883,-0.375197512186592,1.71933161880152e-35
"Plxdc2","chr2-16355578-16357101","Promoter (<=1kb)",0,-1.42013782213226,-0.258918507375293,3.9632261654258e-31
"Irx1","chr13-71962206-71964188","Promoter (<=1kb)",0,-1.41870607085369,-0.159013029375565,4.04981690580913e-21
"Sorbs1","chr19-40376689-40378435","Promoter (<=1kb)",0,-1.41856274056459,-0.011364458214764,1
"Mir344d-3","chr7-61725764-61726606","Promoter (<=1kb)",0,-1.4163845347685,NA,NA
"Eva1a","chr6-82040844-82043090","Promoter (<=1kb)",0,-1.4162953247384,NA,NA
